,cut,floor,profit,loans,wins,defaults
0,0.01,0.0,-5491.894011232258,253,170,2
1,0.01,0.005,2001.004000430988,253,163,2
2,0.01,0.01,8394.526076178698,253,154,2
3,0.01,0.015,17247.264501856647,253,116,1
4,0.01,0.02,20969.274390091217,253,109,1
5,0.01,0.025,22352.583161892864,253,97,1
6,0.01,0.03,24109.455402027877,253,89,1
7,0.01,0.035,26306.29184576903,253,84,1
8,0.01,0.04,25606.300847713195,253,74,1
9,0.01,0.045,26036.370198191154,253,68,1
10,0.01,0.05,24727.55736945494,253,60,1
11,0.01,0.055,23250.319954741357,253,53,1
12,0.01,0.06,23767.48854204407,253,50,1
13,0.01,0.065,22512.30086903329,253,45,1
14,0.01,0.07,12118.641104408835,253,29,1
15,0.01,0.075,11020.928465320258,253,26,1
16,0.01,0.08,10507.593692782308,253,24,1
17,0.01,0.085,5046.584517807096,253,17,1
18,0.01,0.09,10888.837479148715,253,11,0
19,0.01,0.095,8308.44297889892,253,8,0
20,0.01,0.1,7619.613402423712,253,7,0
21,0.01,0.105,7969.613402423712,253,7,0
22,0.01,0.11,8319.613402423713,253,7,0
23,0.01,0.115,8669.613402423713,253,7,0
24,0.01,0.12,9019.61340242371,253,7,0
25,0.01,0.125,6682.530375619721,253,5,0
26,0.01,0.13,5538.730827081259,253,4,0
27,0.01,0.135,4297.414874816237,253,3,0
28,0.01,0.14,1467.5905792930164,253,1,0
29,0.01,0.145,1517.5905792930162,253,1,0
30,0.01,0.15,1567.5905792930162,253,1,0
31,0.01,0.155,1617.5905792930162,253,1,0
32,0.01,0.16,1667.5905792930162,253,1,0
33,0.01,0.165,1717.5905792930164,253,1,0
34,0.01,0.17,1767.5905792930164,253,1,0
35,0.01,0.17500000000000002,1817.5905792930164,253,1,0
36,0.01,0.18,0.0,253,0,0
37,0.01,0.185,0.0,253,0,0
38,0.01,0.19,0.0,253,0,0
39,0.01,0.195,0.0,253,0,0
40,0.01,0.2,0.0,253,0,0
41,0.01,0.20500000000000002,0.0,253,0,0
42,0.01,0.21,0.0,253,0,0
43,0.01,0.215,0.0,253,0,0
44,0.01,0.22,0.0,253,0,0
45,0.01,0.225,0.0,253,0,0
46,0.01,0.23,0.0,253,0,0
